INDEX();cod_pais;cod_sucursal;desc_sucursal;cod_zona_cliente;cod_ruta_cliente;desc_marca (grupo);fecha_liquidacion;Clientes_Vta;total_clientes;% Cob ;Caja_Fisica;Caja_Unitaria;Venta_Neta;ticket;pedidos_concretados;frecuencia_compra
13;GT;02;RUTA EL ATLANTICO;30;1400;BIG;1/1/2025;138;166;83%;1,528;474;6,854;28;244; 1.77 
14;GT;02;RUTA EL ATLANTICO;30;1400;BIG;2/1/2025;129;169;76%;1,609;536;7,400;31;239; 1.85 
15;GT;02;RUTA EL ATLANTICO;30;1400;BIG;3/1/2025;138;175;79%;1,548;529;7,355;32;227; 1.64 
16;GT;02;RUTA EL ATLANTICO;30;1400;BIG;4/1/2025;131;175;75%;1,952;666;9,113;38;238; 1.82 
17;GT;02;RUTA EL ATLANTICO;30;1400;BIG;5/1/2025;125;181;69%;1,328;475;6,356;42;153; 1.22 
18;GT;02;RUTA EL ATLANTICO;30;1400;BIG;6/1/2025;143;188;76%;1,625;615;8,270;34;244; 1.71 
19;GT;02;RUTA EL ATLANTICO;30;1400;BIG;7/1/2025;139;199;70%;1,795;593;8,436;35;239; 1.72 
20;GT;02;RUTA EL ATLANTICO;30;1400;BIG;8/1/2025;150;210;71%;1,769;601;8,326;30;281; 1.87 
21;GT;02;RUTA EL ATLANTICO;30;1400;BIG;9/1/2025;147;217;68%;1,748;593;8,321;37;226; 1.54 
22;GT;02;RUTA EL ATLANTICO;30;1400;BIG;10/1/2025;149;217;69%;1,406;506;6,853;36;191; 1.28 
23;GT;02;RUTA EL ATLANTICO;30;1400;BIG;11/1/2025;151;223;68%;1,444;504;7,072;31;226; 1.50 
24;GT;02;RUTA EL ATLANTICO;30;1400;BIG;12/1/2025;155;231;67%;1,650;554;7,841;36;216; 1.39 
25;GT;02;RUTA EL ATLANTICO;30;1400;BIG;1/1/2026;165;235;70%;1,703;576;8,040;33;241; 1.46 
26;GT;02;RUTA EL ATLANTICO;30;1400;BIG;2/1/2026;173;238;73%;1,852;644;8,785;34;257; 1.49 
27;GT;02;RUTA EL ATLANTICO;30;1400;BIG;3/1/2026;164;246;67%;2,162;779;10,293;37;276; 1.68 
28;GT;02;RUTA EL ATLANTICO;30;1400;BIG;4/1/2026;163;248;66%;1,726;633;8,367;45;185; 1.13 
41;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;1/1/2025;10;166;6%;15;1;48;12;4; 0.40 
42;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;2/1/2025;12;169;7%;21;2;61;7;9; 0.75 
43;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;3/1/2025;10;175;6%;19;2;62;15;4; 0.40 
44;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;4/1/2025;12;175;7%;21;2;68;11;6; 0.50 
45;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;5/1/2025;9;181;5%;16;1;54;27;2; 0.22 
